Age 1,O181,,,Age2,O182
,,,9069.2,9.0692,-8.49
,,,9087.1,9.0871,-8.01
,,,9105,9.105,-8.01
,,,9134.1,9.1341,-7.88
,,,9163.3,9.1633,-8.14
,,,9192.4,9.1924,-8.15
,,,9221.5,9.2215,-8.33
,,,9250.7,9.2507,-8.52
,,,9279.8,9.2798,-9.18
,,,9308.9,9.3089,-9.03
,,,9338.1,9.3381,-9.07
,,,9367.2,9.3672,-8.92
,,,9396.3,9.3963,-8.8
,,,9425.5,9.4255,-8.83
,,,9454.6,9.4546,-8.79
,,,9483.7,9.4837,-8.94
,,,9512.9,9.5129,-9.08
,,,9542,9.542,-9.22
,,,9571,9.571,-8.65
,,,9600,9.6,-8.29
,,,9629,9.629,-8.25
,,,9658,9.658,-8.66
,,,9687,9.687,-8.91
,,,9716,9.716,-8.42
,,,9745,9.745,-8.18
,,,9774,9.774,-8.88
,,,9803,9.803,-8.88
,,,9832,9.832,-8.72
,,,9861,9.861,-8.75
,,,9890,9.89,-8.66
,,,9919,9.919,-8.56
,,,9948,9.948,-8.01
,,,9977,9.977,-8.31
,,,9995.3,9.9953,-8.69
,,,10013.5,10.0135,-8.44
,,,10031.8,10.0318,-8.58
,,,10050,10.05,-8.93
,,,10068.3,10.0683,-8.99
,,,10086.6,10.0866,-9.02
,,,10104.8,10.1048,-9.06
,,,10123.1,10.1231,-8.8
,,,10141.3,10.1413,-8.26
,,,10159.6,10.1596,-8.49
,,,10177.9,10.1779,-8.59
,,,10196.1,10.1961,-9.16
,,,10214.4,10.2144,-9.15
,,,10232.7,10.2327,-8.86
,,,10250.9,10.2509,-8.64
,,,10269.2,10.2692,-8.9
,,,10287.4,10.2874,-8.79
,,,10305.7,10.3057,-8.94
,,,10324,10.324,-8.99
,,,10342.2,10.3422,-8.65
,,,10360.5,10.3605,-9
,,,10378.7,10.3787,-8.9
,,,10397,10.397,-8.83
,,,10416,10.416,-8.31
,,,10434.9,10.4349,-8.3
,,,10453.9,10.4539,-8.61
,,,10472.8,10.4728,-8.03
,,,10491.8,10.4918,-8.7
,,,10510.8,10.5108,-8.86
,,,10529.7,10.5297,-8.92
,,,10548.7,10.5487,-8.83
,,,10567.7,10.5677,-9.02
,,,10605.6,10.6056,-8.95
,,,10624.5,10.6245,-8.69
,,,10643.5,10.6435,-8.77
,,,10662.5,10.6625,-9.05
,,,10681.4,10.6814,-8.87
